K15765	K16246
K12348	K12353
K04997	K07826
K05854	K06498
K00009	K00850
K10187	K14174
K12103	K15842
K02105	K04707
K00169	K15230
K05147	K07364
K11067	K12657
K12298	K16816
K12188	K12189
K05898	K15982
K04421	K06452
K07508	K15037
K05855	K05859
K00135	K00245
K04353	K08018
K00073	K16856
K04100	K04102
K04403	K04432
K00710	K00731
K07292	K07594
K00119	K03430
K04350	K04867
K00914	K07889
K12612	K12615
K04177	K05416
K00942	K15780
K01769	K03019
K00795	K12505
K04072	K14580
K01922	K03525
K02160	K11533
K01768	K03060
K04570	K11224
K04133	K04347
K00714	K16798
K01242	K01950
K00255	K07509
K02214	K06629
K05079	K05437
K00621	K01836
K12111	K12308
K01840	K02796
K00384	K12527
K01519	K08043
K00793	K14410
K08846	K12797
K04765	K12318
K03621	K13509
K04344	K04534
K05443	K06563
K00385	K01011
K07827	K12362
K03997	K13972
K00025	K01677
K00281	K00827
K04348	K17334
K01510	K01939
K01593	K03334
K02541	K02603
K00170	K15231
K16162	K16259
K00748	K02536
K04630	K04849
K00547	K10764
K02527	K11211
K01016	K07424
K00969	K08723
K02543	K12578
K06481	K06591
K08764	K12405
K00281	K00600
K04182	K10033
K04355	K04360
K00873	K10808
K12044	K12045
K04358	K05089
K01494	K03060
K14493	K14494
K02677	K06089
K00161	K01959
K05349	K15922
K00656	K01007
K06644	K13305
K01519	K13799
K07641	K07663
K00643	K01620
K07424	K16343
K04130	K04542
K03763	K14641
K01040	K01426
K05091	K05460
K01821	K10217
K00919	K00991
K03283	K09525
K00856	K13298
K13485	K16842
K04467	K05872
K04192	K05408
K05873	K07816
K13919	K13922
K12319	K14642
K00044	K04345
K05411	K05842
K00176	K01903
K12881	K14284
K01028	K01782
K05907	K17725
K04348	K17332
K00253	K01968
K14449	K14450
K04447	K05138
K14521	K14558
K02825	K09903
K00832	K15227
K08048	K13756
K03058	K12324
K04163	K04539
K05286	K05288
K11265	K13293
K08722	K15519
K04379	K04440
K02861	K04432
K00232	K10526
K01058	K16818
K00027	K12406
K01388	K04377
K02763	K03431
K01962	K15024
K00859	K02318
K16011	K17497
K00869	K13273
K04279	K04635
K01769	K03059
K01443	K02803
K04182	K16595
K00799	K01920
K01437	K09758
K10666	K13989
K00006	K00980
K02083	K14977
K14579	K17049
K00812	K01738
K00261	K00620
K01643	K01960
K00962	K03016
K00833	K01935
K11423	K13645
K00635	K01046
K00603	K11787
K03048	K12323
K00799	K17683
K05097	K05459
K08723	K13755
K01228	K12691
K14001	K14002
K03456	K11584
K01625	K01638
K00492	K04098
K02633	K05870
K06596	K06597
K00911	K01116
K08727	K12795
K00939	K10353
K03429	K14452
K00619	K00931
K04392	K05627
K03456	K16820
K06859	K12407
K01769	K12406
K03662	K15987
K04712	K12348
K01130	K01186
K00278	K01424
K00927	K11389
K00679	K14076
K02548	K12073
